Year_Month,ewp_rank_1,ewp_rank_2,ewp_rank_3,ls
2001-02,-0.013305580032051359,-0.0541308942468383,-0.2450673637293243,-0.23176178369727296
2001-03,-0.07314463544291469,-0.05484266523697767,0.004176700890945762,0.07732133633386046
2001-04,0.04240040806968252,0.10112366602879297,0.17585946898585228,0.13345906091616977
2001-05,0.02895792554987841,-0.012592051057799319,-0.039505590765995455,-0.06846351631587386
2001-06,0.01117758886332407,-0.031612325661410576,0.10370824129151349,0.09253065242818942
2001-07,0.042821540479149836,-0.013189113465743366,-0.04777888954976956,-0.0906004300289194
2001-08,0.0089203753626213,-0.08378542211052072,-0.12887812942124163,-0.13779850478386294
2001-11,0.02814089291859259,0.08793738100645584,0.217983956869284,0.18984306395069142
2001-12,0.0016390466113252677,0.021879917206833775,0.04014305845778869,0.038504011846463425
2002-01,-0.00978094955997387,0.01945912598927744,0.07320139890554145,0.08298234846551532
2002-02,0.03600017467411947,0.008173400782540443,-0.1694685600870287,-0.2054687347611482
2002-03,0.04900123676014439,0.07331469325300942,-0.01590878756899524,-0.06491002432913963
2002-04,-0.03879095270284434,-0.03892868163935716,-0.15435205506668986,-0.11556110236384552
2002-05,-0.008376677947352298,-0.007346516726793833,-0.04394200701003838,-0.03556532906268608
2002-06,-0.03457750162752436,-0.14471881449552423,-0.13417815513616987,-0.09960065350864551
2002-07,-0.042357191862989904,-0.09053680579544285,-0.09694058499073459,-0.054583393127744684
2002-08,-0.029990096872136933,-0.0022175447053807925,-0.05954977452597363,-0.0295596776538367
2002-09,-0.027632238152933596,-0.16744670099117603,-0.15136864551432677,-0.12373640736139317
2002-10,0.05129300904285208,0.14031365972152635,0.2533319479205064,0.2020389388776543
2002-11,-0.023783302826971782,0.09086227254690353,0.27149107076923107,0.29527437359620284
2002-12,-0.01997056610115448,-0.09793707396365436,-0.21066448733722548,-0.190693921236071
2003-01,-0.023294891366678644,-0.019875308997043123,-0.00255081841485688,0.020744072951821763
2003-02,-0.019249586249015724,0.023130983286638818,0.04585312374328797,0.06510270999230369
2003-03,0.039053291084505296,0.0016636452285055774,-0.04291537612886179,-0.08196866721336708
2003-04,0.020744895280334852,0.10665208480625887,0.13155424315953712,0.11080934787920227
2003-05,-0.003927905418787829,0.2127438655053419,0.15830069387249485,0.16222859929128267
2003-06,0.010770575379518022,0.03216486264265945,-0.029198459477209136,-0.03996903485672716
2003-07,0.0005309908332250575,0.025097118447820345,0.05627057988083517,0.05573958904761011
2003-08,-0.04324095159203396,0.006243309776868622,0.06268595196405195,0.10592690355608592
2003-09,0.022454784026486898,-0.023719695636118036,-0.05984587725007169,-0.08230066127655859
2003-10,0.035216993236238905,0.09050888164552942,0.04852106286108014,0.013304069624841236
2003-11,0.006148400292475083,0.015462760269022047,0.019465512577100726,0.013317112284625642
2003-12,0.07164556854502233,0.07069363864448283,0.015962093403546776,-0.05568347514147555
2004-01,0.02306709188302509,0.024332146750065283,0.02397552965414685,0.0009084377711217617
2004-02,0.0015067659256283394,-0.005974350813832462,-0.033598432013343234,-0.03510519793897157
2004-03,-0.014258137987685705,-0.02917384715636647,0.04162294768675785,0.055881085674443554
2004-04,0.026224849976092347,-0.022402444854368642,-0.10467781189615917,-0.13090266187225152
2004-05,0.01165685854393522,0.03244726831164023,0.0758885751084233,0.06423171656448808
2004-06,0.023227713824192496,0.013403122993435431,0.024421475598735233,0.001193761774542737
2004-07,-0.037106165280525114,-0.03648578878820653,-0.1264753677324083,-0.08936920245188319
2004-08,0.0292956538356477,-0.015457734637451334,-0.04835193408583463,-0.07764758792148233
2004-09,-0.035588451245211025,-0.014690008523373954,0.066150205778761,0.10173865702397203
2004-10,0.009580067064289148,0.08333915391437777,0.07002364688590912,0.06044357982161997
2004-11,0.03234428411117859,0.01434079552777676,0.12753876858484936,0.09519448447367077
2004-12,0.034295241905169145,0.02851700823269817,0.06656484619889962,0.03226960429373047
2005-01,-0.002708869182475491,-0.022171560591330977,0.005773304925519149,0.00848217410799464
2005-02,0.014976717260072978,0.01531800740245133,0.07598228266499607,0.06100556540492309
2005-03,-0.004018017419155981,-0.005654386001664549,-0.0708268236218697,-0.06680880620271372
2005-04,0.030128826022027322,-0.01012468364445092,-0.05151062300634568,-0.081639449028373
2005-05,0.0038947064911666546,0.07484275487482829,0.10766159471272588,0.10376688822155922
2005-06,-0.022161339530565594,-0.04325121558666227,0.0006929252689716503,0.022854264799537245
2005-07,0.01585633027926933,-0.008019969071725417,0.049224082837246816,0.033367752557977484
2005-08,-0.007926246322981483,-0.00468035888523038,0.012364620990211517,0.020290867313193
2005-09,0.0017600794864945043,-0.0222523453957511,0.04324054043886548,0.04148046095237098
2005-10,0.00528710042298605,-0.03841590243075774,0.002368214211072877,-0.002918886211913173
2005-11,0.04697922426387449,0.03695666866983748,0.1298397391664912,0.0828605149026167
2005-12,-0.022031049092455256,0.0019416122303232558,0.019344454763566218,0.04137550385602147
2006-01,0.004522472027417616,0.04957897236855172,0.018811354515158637,0.01428888248774102
2006-02,0.027476511435298324,0.02981796025064229,-0.008483120380406179,-0.0359596318157045
2006-03,0.012683201505018553,0.015223810981713291,0.059684084383190256,0.0470008828781717
2006-04,-0.002240239684184365,0.01839863056055583,0.04658427016904084,0.04882450985322521
2006-05,-0.01197325643976975,-0.008427326871146903,-0.08339265269187877,-0.07141939625210902
2006-06,-0.005588718154158119,0.031179662642833873,0.0005470421637365983,0.006135760317894717
2006-07,0.047029168313202495,-0.008704691486825672,0.021638430751586574,-0.02539073756161592
